Model,Lang,Smell,Ratio,F1,AUC,MCC
RNN,CSharp,CM,Base,0.368,0.649,0.213
RNN,CSharp,CM,10%,0.442,0.665,0.267
RNN,CSharp,CM,30%,0.492,0.679,0.515
RNN,CSharp,CM,50%,0.527,0.698,0.501
RNN,CSharp,CC,Base,0.173,0.631,0.081
RNN,CSharp,CC,10%,0.218,0.656,0.103
RNN,CSharp,CC,30%,0.232,0.666,0.118
RNN,CSharp,CC,50%,0.248,0.682,0.253
RNN,CSharp,FE,Base,0.061,0.721,0.003
RNN,CSharp,FE,10%,0.071,0.758,0.062
RNN,CSharp,FE,30%,0.078,0.786,0.093
RNN,CSharp,FE,50%,0.082,0.825,0.127
RNN,CSharp,MA,Base,0.000,0.500,0.000
RNN,CSharp,MA,10%,0.000,0.647,0.000
RNN,CSharp,MA,30%,0.000,0.682,-0.050
RNN,CSharp,MA,50%,0.000,0.724,-0.009
RNN,Java,CM,Base,0.418,0.662,0.262
RNN,Java,CM,10%,0.523,0.692,0.233
RNN,Java,CM,30%,0.588,0.722,0.336
RNN,Java,CM,50%,0.627,0.732,0.529
RNN,Java,CC,Base,0.217,0.563,0.110
RNN,Java,CC,10%,0.273,0.584,0.092
RNN,Java,CC,30%,0.288,0.588,0.099
RNN,Java,CC,50%,0.325,0.595,0.105
RNN,Java,FE,Base,0.065,0.662,-0.058
RNN,Java,FE,10%,0.085,0.703,0.078
RNN,Java,FE,30%,0.092,0.728,0.078
RNN,Java,FE,50%,0.091,0.737,0.128
RNN,Java,MA,Base,0.000,0.500,0.000
RNN,Java,MA,10%,0.000,0.648,-0.009
RNN,Java,MA,30%,0.000,0.684,-0.045
RNN,Java,MA,50%,0.000,0.708,-0.012
CodeBERT,CSharp,CM,Base,0.649,0.880,0.532
CodeBERT,CSharp,CM,10%,0.943,0.988,0.832
CodeBERT,CSharp,CM,30%,0.931,0.989,0.936
CodeBERT,CSharp,CM,50%,0.937,0.989,0.675
CodeBERT,CSharp,CC,Base,0.471,0.872,0.349
CodeBERT,CSharp,CC,10%,0.909,0.993,0.754
CodeBERT,CSharp,CC,30%,0.912,0.993,0.801
CodeBERT,CSharp,CC,50%,0.906,0.992,0.803
CodeBERT,CSharp,FE,Base,0.131,0.818,0.002
CodeBERT,CSharp,FE,10%,0.432,0.973,0.400
CodeBERT,CSharp,FE,30%,0.376,0.976,0.417
CodeBERT,CSharp,FE,50%,0.425,0.973,0.406
CodeBERT,CSharp,MA,Base,0.013,0.833,-0.092
CodeBERT,CSharp,MA,10%,0.527,0.985,0.364
CodeBERT,CSharp,MA,30%,0.456,0.985,0.326
CodeBERT,CSharp,MA,50%,0.486,0.988,0.317
CodeBERT,Java,CM,Base,0.769,0.943,0.616
CodeBERT,Java,CM,10%,0.992,0.955,0.711
CodeBERT,Java,CM,30%,0.991,0.954,0.919
CodeBERT,Java,CM,50%,0.987,0.955,0.963
CodeBERT,Java,CC,Base,0.763,0.921,0.662
CodeBERT,Java,CC,10%,0.929,0.995,0.908
CodeBERT,Java,CC,30%,0.929,0.995,0.909
CodeBERT,Java,CC,50%,0.927,0.995,0.910
CodeBERT,Java,FE,Base,0.232,0.865,0.188
CodeBERT,Java,FE,10%,0.346,0.748,0.355
CodeBERT,Java,FE,30%,0.343,0.747,0.354
CodeBERT,Java,FE,50%,0.349,0.752,0.320
CodeBERT,Java,MA,Base,0.048,0.874,-0.050
CodeBERT,Java,MA,10%,0.234,0.705,0.284
CodeBERT,Java,MA,30%,0.197,0.611,0.193
CodeBERT,Java,MA,50%,0.185,0.568,0.219
AE,CSharp,CM,Base,0.218,0.785,0.044
AE,CSharp,CM,10%,0.561,0.674,0.457
AE,CSharp,CM,30%,0.559,0.668,0.455
AE,CSharp,CM,50%,0.558,0.667,0.455
AE,CSharp,CC,Base,0.068,0.682,-0.035
AE,CSharp,CC,10%,0.297,0.637,0.156
AE,CSharp,CC,30%,0.303,0.635,0.156
AE,CSharp,CC,50%,0.302,0.636,0.156
AE,CSharp,FE,Base,0.017,0.768,-0.062
AE,CSharp,FE,10%,0.321,0.914,0.184
AE,CSharp,FE,30%,0.323,0.916,0.184
AE,CSharp,FE,50%,0.319,0.916,0.184
AE,CSharp,MA,Base,0.003,0.836,-0.052
AE,CSharp,MA,10%,0.279,0.973,0.058
AE,CSharp,MA,30%,0.278,0.975,0.058
AE,CSharp,MA,50%,0.276,0.975,0.058
AE,Java,CM,Base,0.412,0.736,0.164
AE,Java,CM,10%,0.712,0.764,0.166
AE,Java,CM,30%,0.711,0.763,0.233
AE,Java,CM,50%,0.712,0.766,0.167
AE,Java,CC,Base,0.208,0.612,0.087
AE,Java,CC,10%,0.368,0.638,0.273
AE,Java,CC,30%,0.369,0.638,0.273
AE,Java,CC,50%,0.368,0.635,0.273
AE,Java,FE,Base,0.024,0.756,-0.039
AE,Java,FE,10%,0.336,0.868,0.215
AE,Java,FE,30%,0.333,0.869,0.215
AE,Java,FE,50%,0.336,0.873,0.215
AE,Java,MA,Base,0.007,0.766,-0.007
AE,Java,MA,10%,0.289,0.893,0.301
AE,Java,MA,30%,0.294,0.893,0.301
AE,Java,MA,50%,0.293,0.889,0.301
Qwen,CSharp,CM,Base,0.658,0.694,0.339
Qwen,CSharp,CM,10%,0.702,0.732,0.255
Qwen,CSharp,CM,30%,0.706,0.738,0.329
Qwen,CSharp,CM,50%,0.708,0.742,0.307
Qwen,CSharp,CC,Base,0.654,0.691,0.412
Qwen,CSharp,CC,10%,0.669,0.708,0.268
Qwen,CSharp,CC,30%,0.675,0.714,0.282
Qwen,CSharp,CC,50%,0.675,0.714,0.280
Qwen,CSharp,FE,Base,0.000,0.500,-0.020
Qwen,CSharp,FE,10%,0.000,0.500,0.000
Qwen,CSharp,FE,30%,0.000,0.500,0.000
Qwen,CSharp,FE,50%,0.000,0.500,0.000
Qwen,CSharp,MA,Base,0.000,0.500,-0.050
Qwen,CSharp,MA,10%,0.000,0.500,0.000
Qwen,CSharp,MA,30%,0.000,0.500,0.000
Qwen,CSharp,MA,50%,0.000,0.500,0.000
Qwen,Java,CM,Base,0.673,0.713,0.428
Qwen,Java,CM,10%,0.695,0.735,0.227
Qwen,Java,CM,30%,0.701,0.744,0.249
Qwen,Java,CM,50%,0.703,0.744,0.280
Qwen,Java,CC,Base,0.593,0.625,0.240
Qwen,Java,CC,10%,0.611,0.642,0.108
Qwen,Java,CC,30%,0.613,0.645,0.323
Qwen,Java,CC,50%,0.613,0.645,0.027
Qwen,Java,FE,Base,0.000,0.500,-0.034
Qwen,Java,FE,10%,0.000,0.500,0.000
Qwen,Java,FE,30%,0.000,0.500,0.000
Qwen,Java,FE,50%,0.000,0.500,0.000
Qwen,Java,MA,Base,0.000,0.500,-0.098
Qwen,Java,MA,10%,0.000,0.500,0.000
Qwen,Java,MA,30%,0.000,0.500,0.000
Qwen,Java,MA,50%,0.000,0.500,0.000
